Tue Aug  5 14:17:59 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 12403.473406490746, 124.03473406490747
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [27/200], Train Loss: 0.1306 | Test Loss: 0.2473 | LR: [3.14227212817401e-05]| Epoch Time: 1.2258503437042236 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [28/200], Train Loss: 0.1306 | Test Loss: 0.2470 | LR: [3.14227212817401e-05]| Epoch Time: 1.2157270908355713 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [29/200], Train Loss: 0.1306 | Test Loss: 0.2475 | LR: [3.14227212817401e-05]| Epoch Time: 1.2302265167236328 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [30/200], Train Loss: 0.1306 | Test Loss: 0.2474 | LR: [3.14227212817401e-05]| Epoch Time: 1.2527353763580322 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [31/200], Train Loss: 0.1306 | Test Loss: 0.2477 | LR: [3.14227212817401e-05]| Epoch Time: 1.3407931327819824 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [32/200], Train Loss: 0.1306 | Test Loss: 0.2477 | LR: [3.14227212817401e-05]| Epoch Time: 1.2519280910491943 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [33/200], Train Loss: 0.1305 | Test Loss: 0.2477 | LR: [3.1422721281740103e-06]| Epoch Time: 1.2225720882415771 s
Recon: 0.1290 | dx: 0.0011 | dz: 0.0005 | 
Epoch [34/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.216925859451294 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [35/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.2077572345733643 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [36/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.212217092514038 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [37/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.2250752449035645 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [38/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740103e-06]| Epoch Time: 1.2234063148498535 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [39/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740103e-06]| Epoch Time: 1.247450351715088 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [40/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740103e-06]| Epoch Time: 1.208275318145752 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [41/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.2408504486083984 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [42/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.316598653793335 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [43/200], Train Loss: 0.1305 | Test Loss: 0.2478 | LR: [3.1422721281740103e-06]| Epoch Time: 1.249424934387207 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [44/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.2114622592926025 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [45/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.205068826675415 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [46/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.2449259757995605 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [47/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.209143877029419 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [48/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.215291976928711 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [49/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.2296686172485352 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Epoch [50/200], Train Loss: 0.1305 | Test Loss: 0.2479 | LR: [3.1422721281740106e-07]| Epoch Time: 1.2058031558990479 s
Recon: 0.1289 | dx: 0.0011 | dz: 0.0005 | 
Training stopped early.
Predicting the calibration data.
Predicting the testing data.
Running split conformal predictions.
/var/spool/slurmd/job3255402/slurm_script: line 28: k: command not found
starting cv+ with  folds
usage: ae_NNdzdt_cv.py [-h] [-t TEST_SIZE] [-k FOLDS] [-c CPUS] [-e EPOCHS]
                       [-b BATCHES] [-a ALPHA [ALPHA ...]]
                       data_name
ae_NNdzdt_cv.py: error: argument -k/--folds: invalid int value: ''
