Tue Aug  5 14:17:00 PDT 2025
activating
starting vanilla cp
Using cpu device
Epoch [35/200], Train Loss: 0.1708 | Test Loss: 0.3064 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9051218032836914 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [36/200], Train Loss: 0.1708 | Test Loss: 0.3064 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9026641845703125 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [37/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9092011451721191 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [38/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.4828847809668824e-06]| Epoch Time: 1.0302858352661133 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [39/200], Train Loss: 0.1708 | Test Loss: 0.3065 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9059007167816162 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [40/200], Train Loss: 0.1708 | Test Loss: 0.3064 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9103999137878418 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [41/200], Train Loss: 0.1708 | Test Loss: 0.3065 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9084675312042236 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [42/200], Train Loss: 0.1708 | Test Loss: 0.3065 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9032304286956787 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [43/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.4828847809668824e-06]| Epoch Time: 0.9048423767089844 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [44/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 0.9049208164215088 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [45/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 0.9063189029693604 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [46/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 1.0307276248931885 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [47/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 0.9050858020782471 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [48/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 0.9006145000457764 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [49/200], Train Loss: 0.1708 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 0.9081912040710449 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Epoch [50/200], Train Loss: 0.1707 | Test Loss: 0.3065 | LR: [2.482884780966883e-07]| Epoch Time: 0.9107973575592041 s
Recon: 0.1385 | dx: 0.0322 | dz: 0.0001 | 
Training stopped early.
Predicting the calibration data.
Predicting the testing data.
Running split conformal predictions.
/var/spool/slurmd/job3255401/slurm_script: line 28: k: command not found
starting cv+ with  folds
usage: ae_ar_cv.py [-h] [-t TEST_SIZE] [-k FOLDS] [-c CPUS] [-e EPOCHS]
                   [-b BATCHES] [-a ALPHA [ALPHA ...]]
                   data_name
ae_ar_cv.py: error: argument -k/--folds: invalid int value: ''
