trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
678,2.0601235580444337,PRUNED,0:00:00.243149,0.00016293591870227025,20,2,2,0.6862420067515446
679,2.0604634284973145,PRUNED,0:00:00.225879,0.00015641798207614418,23,2,2,0.6903987478406874
680,2.1545345726467313,PRUNED,0:00:00.119129,8.681763827151922e-05,71,1,3,0.9697965667051708
681,89122.40527269024,PRUNED,0:00:00.513389,0.09941895285589905,10,1,3,0.5813933718883163
682,0.9878120142293264,PRUNED,0:00:09.958299,9.557210411174148e-05,9,1,3,0.5811607372812397
683,7190.219352098919,PRUNED,0:00:00.416784,0.09420019489637659,10,2,2,0.5795937359896663
684,2.1169848980673827,PRUNED,0:00:00.483713,0.00010553226273454071,9,2,2,1.1234171363070597
685,2.075645554065704,PRUNED,0:00:00.134800,0.00010350558221641422,50,2,2,0.5818061276087432
686,2.213781714439392,PRUNED,0:00:00.075703,0.00010571221812085336,186,2,2,1.0143392815626933
687,2.115006470017963,PRUNED,0:00:00.144640,1.328151444262493e-05,42,2,2,1.127152926522096
688,2.0315360682351247,PRUNED,0:00:00.155129,7.135563737231889e-05,43,2,2,0.5175368709497901
689,2.034991210157221,PRUNED,0:00:00.093432,3.765519657065351e-05,140,3,2,0.5478854028611907
690,2.0781065358055963,PRUNED,0:00:00.076416,7.304923404591002e-05,166,2,2,0.6517562623573565
691,2.0688086489836377,PRUNED,0:00:00.216427,7.407303758919478e-05,25,2,2,0.8751373919365893
692,2.069530934930962,PRUNED,0:00:00.456949,9.315731924494664e-06,14,2,3,0.8789075683694249
693,2.0400338172912598,PRUNED,0:00:00.078695,2.8563270119701726e-05,212,2,3,0.5994710385435098
694,2.0323857430900847,PRUNED,0:00:00.189093,4.642549269101815e-05,27,2,2,0.622451914554725
695,310.7152365345821,PRUNED,0:00:00.366301,0.026136614926008755,14,4,2,0.7216521618457146
696,1.996928204999906,PRUNED,0:00:00.671980,4.8869589037539125e-05,14,4,2,0.5434281004913842
697,1.9982812298882393,PRUNED,0:00:00.756929,5.065592010433328e-05,12,4,2,0.5509759108600751
698,1.997933809389204,PRUNED,0:00:00.847742,4.781594711223167e-05,10,2,2,0.5587301417934745
699,2.174184911353614,PRUNED,0:00:00.501165,0.0007541142248636002,8,2,2,0.5644577670304877
700,2.033540907085583,PRUNED,0:00:00.492441,8.160056584248634e-05,8,2,2,0.6565990365394273
701,2.0591317330087935,PRUNED,0:00:00.090252,8.478689160490114e-05,108,2,2,0.5204399214456643
